Open,High,Low,Close,Volume
1.21297,1.21323,1.21112,1.21198,7007
1.21198,1.21286,1.21139,1.21172,5887
1.21171,1.21391,1.2112,1.21354,5380
1.21355,1.21585,1.21323,1.21544,4537
1.21544,1.21784,1.21494,1.21657,4173
1.21657,1.21775,1.21501,1.21508,5399
1.21508,1.21578,1.21468,1.2155,2847
1.2155,1.21652,1.21547,1.21639,2570
1.21639,1.21644,1.21517,1.2154,1361
1.21537,1.21557,1.21508,1.21514,944
1.2152,1.21559,1.21501,1.21506,1414
1.21504,1.21625,1.21503,1.21544,2327
1.21544,1.21574,1.21485,1.21509,2234
1.21511,1.21516,1.21433,1.21516,1518
1.21515,1.21546,1.21492,1.21493,1450
1.21493,1.21509,1.21433,1.21469,1779
1.21468,1.21469,1.21354,1.21399,2378
1.21399,1.21442,1.21339,1.21375,2116
1.21375,1.21467,1.21346,1.21351,3398
1.2135,1.21414,1.21178,1.21311,4734
1.21308,1.21416,1.21279,1.21391,3169
1.2139,1.21444,1.21268,1.21318,3136
1.21318,1.21371,1.21222,1.21234,3357
1.21234,1.21252,1.21154,1.21217,3993
1.21212,1.21329,1.2114,1.21161,4478
1.2116,1.21177,1.20939,1.20974,6338
1.20973,1.21022,1.20817,1.20933,7139
1.20933,1.21003,1.20874,1.20976,4863
1.20978,1.21003,1.20882,1.20938,3216
1.20938,1.20938,1.20776,1.20807,2805
1.20807,1.2085,1.20768,1.20768,1863
1.20768,1.20817,1.20766,1.20782,1529
1.20782,1.20801,1.2075,1.20766,1194
1.20813,1.20847,1.20745,1.20771,368
1.20771,1.20864,1.20661,1.20663,2703
1.20664,1.2078,1.20649,1.20756,2939
1.20758,1.20812,1.20707,1.20789,2974
1.20789,1.20848,1.20754,1.20828,2562
1.20828,1.20829,1.20702,1.20741,1981
1.20742,1.20746,1.20655,1.20698,1574
1.20699,1.20775,1.20656,1.20775,1693
1.20775,1.20817,1.20735,1.20807,1227
1.20806,1.20867,1.20675,1.20677,3045
1.20675,1.20798,1.20671,1.20694,3848
1.20695,1.20754,1.20592,1.20622,3661
1.20622,1.20698,1.20562,1.20672,2629
1.20671,1.20756,1.20624,1.20653,3137
1.20654,1.2067,1.20536,1.20562,2531
1.2056,1.20694,1.20548,1.20659,2400
1.2066,1.20731,1.20629,1.20717,2664
1.20718,1.20767,1.20682,1.20747,2353
1.20747,1.20807,1.20737,1.20766,1695
1.20767,1.20767,1.20709,1.20749,1400
1.20749,1.20779,1.20719,1.20739,925
1.20739,1.2082,1.20738,1.20789,1760
1.20789,1.20805,1.20763,1.20763,721
1.20764,1.20799,1.20748,1.20757,1175
1.20768,1.20785,1.20745,1.20763,341
1.20769,1.2078,1.20739,1.20777,612
1.20777,1.20928,1.20774,1.20864,2096
1.20863,1.20968,1.20861,1.20932,3158
1.20933,1.20978,1.20906,1.20944,2010
1.20945,1.20985,1.20922,1.20969,1815
1.2097,1.20973,1.20938,1.20953,850
1.20953,1.20971,1.20909,1.20969,1161
1.20969,1.20979,1.20925,1.20979,1428
1.20977,1.21079,1.20854,1.21042,3409
1.21042,1.21189,1.21033,1.21094,4826
1.21095,1.21227,1.21028,1.21183,3717
1.21184,1.21343,1.21183,1.21283,3867
1.21283,1.21374,1.21271,1.21272,2717
1.21272,1.21334,1.21242,1.21259,3077
1.21262,1.21412,1.21232,1.21359,3651
1.21356,1.21449,1.21223,1.21263,4612
1.21263,1.21351,1.21188,1.21282,5140
1.21282,1.21341,1.21158,1.21248,3529
1.21248,1.21264,1.21169,1.21212,2064
1.21212,1.21249,1.21188,1.21217,1489
1.21217,1.21298,1.21197,1.21253,1512
1.21253,1.2128,1.21232,1.21269,1273
1.2127,1.21298,1.21247,1.21284,948
1.21281,1.21285,1.21227,1.21279,476
1.21281,1.21398,1.21266,1.21394,1537
1.21393,1.21465,1.2127,1.21422,3268
1.21421,1.21448,1.21353,1.2141,2349
1.2141,1.21494,1.21397,1.21435,1578
1.21435,1.21472,1.21424,1.21444,1450
1.21444,1.21446,1.21395,1.21403,1064
1.21403,1.21445,1.21403,1.21441,1028
1.21444,1.21578,1.21423,1.21488,2149
1.21483,1.21577,1.21477,1.21556,2984
1.21554,1.21582,1.21308,1.21352,4590
1.21352,1.21368,1.21182,1.21275,4993
1.21275,1.21278,1.21134,1.21213,3596
1.21212,1.21228,1.21115,1.21122,2882
1.21121,1.21149,1.20963,1.20984,3353
1.20984,1.21091,1.20956,1.21073,3329
1.21072,1.21136,1.20767,1.20806,5117
1.20807,1.21177,1.20807,1.21052,5974
1.21052,1.21151,1.20923,1.21104,3465
1.21104,1.21137,1.2101,1.21067,2453
1.21066,1.21102,1.21033,1.21094,1572
1.21094,1.21094,1.21031,1.21072,1495
1.21072,1.21076,1.2099,1.21072,1670
1.21072,1.21077,1.21044,1.21046,1021
1.21043,1.21098,1.21022,1.21091,642
1.21097,1.21186,1.21091,1.21145,1042
1.21145,1.21175,1.21093,1.21174,1678
1.21174,1.21306,1.21154,1.21237,2286
1.21236,1.21336,1.21229,1.21254,1303
1.21254,1.21321,1.21254,1.21297,1174
1.21296,1.21314,1.2127,1.21293,657
1.21293,1.21381,1.2128,1.21346,1004
1.21345,1.21369,1.21284,1.21311,1389
1.21308,1.21352,1.21179,1.21198,2827
1.21197,1.21375,1.2115,1.21317,4326
1.21319,1.21461,1.21274,1.21423,3420
1.21423,1.2147,1.2135,1.21391,3318
1.2139,1.21462,1.21326,1.21432,2642
1.21433,1.2155,1.21415,1.21432,3858
1.21432,1.21732,1.21405,1.21517,7842
1.21515,1.21574,1.21365,1.21498,6939
1.21499,1.21699,1.21483,1.21514,5619
1.21515,1.21546,1.21369,1.21426,4158
1.21425,1.215,1.21358,1.21486,2757
1.21486,1.21565,1.21481,1.21552,1661
1.21551,1.21611,1.2154,1.216,1718
1.21598,1.21697,1.21567,1.21686,1703
1.21687,1.21699,1.21639,1.2164,1055
1.21586,1.21674,1.21586,1.21672,364
1.21672,1.21702,1.21647,1.21654,1608
1.21654,1.21775,1.21647,1.2169,2270
1.21693,1.21738,1.21616,1.2173,2941
1.21731,1.21761,1.21701,1.2174,2331
1.2174,1.21754,1.2171,1.21736,1152
1.21736,1.21766,1.21711,1.21733,1194
1.21734,1.21744,1.21708,1.21721,1191
1.21721,1.21721,1.2163,1.21655,1550
1.21654,1.21654,1.21532,1.21566,3295
1.21565,1.21836,1.21515,1.21796,5007
1.21794,1.21894,1.21595,1.21739,5178
1.21738,1.21778,1.21663,1.2168,3050
1.21681,1.21872,1.21681,1.21764,2987
1.21764,1.21813,1.21595,1.21639,2785
1.2164,1.21707,1.21552,1.21654,2868
1.21654,1.21745,1.21543,1.2174,3323
1.2174,1.21847,1.21622,1.21723,4433
1.21724,1.21815,1.21706,1.21775,3124
1.21776,1.21792,1.21631,1.21674,2159
1.21674,1.21708,1.21656,1.21692,1264
1.21692,1.21731,1.21662,1.21664,1108
1.21664,1.2172,1.21653,1.21682,1061
1.21682,1.21715,1.21661,1.21704,851
1.21704,1.21704,1.21625,1.21665,379
1.21669,1.21709,1.21641,1.21668,1294
1.21671,1.21735,1.21662,1.21678,1511
1.21679,1.21688,1.21602,1.21642,1962
1.21642,1.21755,1.21642,1.21702,1605
1.21703,1.21777,1.21703,1.21749,979
1.21749,1.21805,1.21749,1.21761,949
1.21762,1.2181,1.21749,1.21807,1102
1.21807,1.21833,1.21738,1.2177,1554
1.21771,1.21828,1.21718,1.21797,2495
1.21795,1.21802,1.21684,1.21732,3337
1.21732,1.21746,1.2144,1.21477,3887
1.21477,1.21592,1.21402,1.21573,2930
1.21576,1.21627,1.21545,1.21569,2291
1.21567,1.21594,1.21498,1.21534,2569
1.21535,1.21536,1.21436,1.21471,3120
1.21472,1.21526,1.21199,1.21209,4454
